Title,Director,Cast,Genre,Notes/Music
Sona Chandi,R. D. Pareenja,"Kamala, Chandni, Kishori, Ghulam Rasool, Haroon, Saroj Borkar, Kathana",,"Music: Tufail Faruqui, D C Dutt
Lyrics: Wali Sahab, Khawar Zaman, Shamim"
Subhadra,Master Vinayak,"Prem Adib, Shanta Apte, Ishwarlal, Yakub Meenaxi, Usha Mantri",Mythology,"Music: Vasant Desai
Lyrics: Moti"
Suleh,Apurba Kumar Mitra,"Jamuna Barua, Biman Bannerjee, Devbala, Bipin Gupta, Tulsi Chakraborty, Ahindra Choudhury",Social,"Music: Anil Bagchi
Lyrics: Narottam Vyas"
Swadesh Sewa,Nagendra Majumdar,"N. Majumdar, Madhav Kale, Gauhar Karnataki, David, Athavale",Social,"Music:
Lyrics: Dhaniram Prem"
Talwarwala,Nagendra Majumdar,"Master Vithal, Noor Jehan, Dinkar, Azurie","Action, Drama","Music: Dinkar
Lyrics:"
Tilasmi Duniya,A. M. Khan,"Sarla Devi, Shiraz, S, Kulkarni, Ansari, Madhukar Gupte, Rampyari",Social,"Music: Sajjad Hussain
Lyrics: Hamid Hyderabadi, Madhup Sharma"
Toofan Queen,Ramnik Vaidya,"Fearless Nadia, Prakash, Agha, Shanta Patel, Shyam Sunder",Action,"Music: Chitragupta
Lyrics: Shyam HIndi"
Tum Aur Main,Apurba Kumar Mitra,"Kanan Devi, Talat Mehmood, Manorama, Chhabi Biswas, Purnima, Paresh Bandhopadhyay, Sabita Devi, Sandhya Rani",Drama,"Music: Robin Chatterjee
Lyrics: Zaakir Hussain"
Urvashi,Babubhai Jani,"Shobhana Samarth, Prem Adib, Suraiya, S. B. Nayampalli, Nandkishore",,"Music: Ramchandra Pal, Paigankar, Shyam Sundar Lyrics: Pandit Raghuvir"
Uttara Abhimanyu,Sarvottam Badami,"Ashok Kumar, Chhaya Devi, Shahu Modak, Shanta Apte, S. N. Tripathi",Mythology,"Music: S. N. Tripathi
Lyrics: Roopdas, Saraswati Kumar Deepak"
Valmiki,Bhalji Pendharkar,"Prithviraj Kapoor, Shanta Apte, Pratima Devi, Vinay Kale, Leela, Prabhakar, Pratima Devi, Vinay Kale, Baburao Pendharkar",Biopic,"Music: Shankar Rao Vyas
Lyrics: Mahesh Gupta"
Wamaq Azra,Nazir Ajmeri,"Swarnalata, Nazir Ahmed Khan, Prakash, W. M. Khan, M. Esmail, Kusum Deshpande",Costume,"Music: A R Qureshi
Lyrics: Tanveer Naqvi"
Zameen Aasmaan,Dwarka Khosla,"Ranjana, Jeevan, Om Prakash, Kusum Deshpande, Athavale",Social,"Music: Kamal Dasgupta
Lyrics: Faiyyaz Hashmi"
